code,name,lat,lon
YMHB,Hobart,-42.83611111,147.51027778
YSHW,Holsworthy,-33.995,150.9525
YHOO,Hooker Creek,-18.33583333,130.64333333
YHPN,Hopetoun,-35.71527778,142.35972222
YHID,Horn Island,-10.58638889,142.29
YHSM,Horsham,-36.66972222,142.17277778
YHUG,Hughenden,-20.815,144.22527778
YIFL,Innisfail,-17.55861111,146.01166667
YIVL,Inverell,-29.88833333,151.14416667
YJAB,Jabiru,-12.65833333,132.89305556
YJAC,Jacinth Ambrosia,-30.90111111,132.18361111
YPJT,Jandakot,-32.0975,115.88111111
YJBY,Jervis Bay,-35.14722222,150.69722222
YJLC,Julia Creek,-20.66833333,141.7225
YJUN,Jundee,-26.42111111,120.5775
YKBR,Kalbarri,-27.69194444,114.25944444
YPKG,Kalgoorlie-boulder,-30.78944444,121.46166667
YKKG,Kalkgurung,-17.43194444,130.80805556
YKAL,Kalumburu,-14.28805556,126.63111111
YKAR,Karara,-29.21611111,116.68666667
YPKA,Karratha,-20.71222222,116.77333333
YKMB,Karumba,-17.45555556,140.83166667
YKNG,Katanning,-33.70027778,117.65333333
YKMP,Kempsey,-31.07444444,152.76972222
YKER,Kerang,-35.75138889,143.93944444
YIMB,Kimba,-33.09972222,136.45972222
YKII,King Island,-39.8775,143.87833333
YKRY,Kingaroy,-26.58083333,151.84111111
YKSC,Kingscote,-35.71388889,137.52138889
YKOW,Kowanyama,-15.48555556,141.75138889
YPKU,Kununurra,-15.77805556,128.7075
YLCG,Lake Cargelligo,-33.27833333,146.36916667
YLEV,Lake Evella,-12.49888889,135.80583333
YLTV,Latrobe Valley,-38.20722222,146.47027778
YMLT,Launceston,-41.54527778,147.21416667
YLTN,Laverton,-28.61361111,122.42388889
YPLM,Learmonth,-22.23555556,114.08861111
YLEC,Leigh Creek,-30.59833333,138.42583333
YLST,Leinster,-27.84333333,120.70333333
YLEG,Leongatha,-38.49555556,145.85972222
YLEO,Leonora,-28.87805556,121.31472222
YLRD,Lightning Ridge,-29.45666667,147.98444444
YLIS,Lismore,-28.82666667,153.2575
YLHR,Lockhart River,-12.78694444,143.30472222
YLRE,Longreach,-23.43416667,144.28027778
YLHI,Lord Howe Island,-31.53833333,159.07722222
YLOX,Loxton,-34.47583333,140.66388889
YBMK,Mackay,-21.17166667,149.17972222
YMND,Maitland (nsw),-32.70333333,151.48833333
YMCO,Mallacoota,-37.59888889,149.72083333
YMNG,Mangalore,-36.88833333,145.18416667
YMGD,Maningrida,-12.05611111,134.23416667
YMJM,Manjimup,-34.26527778,116.14027778
YMBA,Mareeba,-17.06916667,145.41916667
YALA,Marla,-27.33416667,133.62638889
YMYB,Maryborough (qld),-25.51333333,152.715
YMBU,Maryborough (vic),-37.03305556,143.70888889
YMHU,Mcarthur River Mine,-16.44333333,136.07666667
YMEK,Meekatharra,-26.61166667,118.54777778
YMML,Melbourne,-37.67333333,144.84333333
